"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"M5Model_Dresslar.nlogo"
"randotime_long"
"04/20/2025 14:57:06:471 -1000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-50","50","-50","50"
"[run number]","Randos?","weirdness","farm-cost","fission-energy","swidden-radius","the-min-fertility","move-rate","[step]","count households","mean [fission-rate] of households","mean [farm-dist] of households","mean [min-fertility] of households","mean [move-threshold] of households","mean [vegetation] of patches","mean [fertility] of patches"
"2","true","80","3","150","12","80","50","9000","88","1.5396354786785762","16.704545454545453","0.5645701253897569","43.364578808046325","46.25301441035192","0.9937123811391078"
"4","true","80","3","150","12","80","50","9000","94","1.4674928323144913","16.75531914893617","0.5125497741862683","41.75897562657441","46.06960101950789","0.9926340554847598"
"1","true","80","3","150","12","80","50","9000","87","1.4554215536707735","16.126436781609197","0.5026872652147585","41.63892213372055","46.22938927556122","0.9920694049602987"
"3","true","80","3","150","12","80","50","11000","70","1.3960190319408112","17.228571428571428","0.44008371708150784","41.318703688600316","47.119694147632586","0.9950436231742014"
"5","true","80","3","150","12","80","50","9000","96","1.4619500398384293","17.208333333333332","0.5619906516298371","40.25350101761642","45.45005391628272","0.9908930497010133"
"6","true","80","3","150","12","80","50","10000","77","1.5639301961537257","17.363636363636363","0.5441758699539445","43.40286155816711","46.45779825507303","0.9935437702186085"
"2","true","80","3","150","12","80","50","10000","84","1.5113771935327143","17.011904761904763","0.5348371444062159","41.40818287178162","46.15184785805313","0.9928399176551371"
"4","true","80","3","150","12","80","50","10000","85","1.4625674419354953","17.352941176470587","0.5405341684683678","40.8358400130393","45.87873737868836","0.9916733653563422"
"1","true","80","3","150","12","80","50","10000","93","1.4368871917834123","16.838709677419356","0.5241011581121562","42.537084601176446","46.06077835506323","0.9922889912753672"
"3","true","80","3","150","12","80","50","12000","74","1.4010054290415481","17.18918918918919","0.5070608900903912","42.45917087017109","46.965787667875695","0.9939260856778771"
"6","true","80","3","150","12","80","50","11000","78","1.433044160142776","16.423076923076923","0.605055797436998","40.390614891260725","46.35947456131752","0.9934359376531724"
"5","true","80","3","150","12","80","50","10000","115","1.5842934394491752","18.68695652173913","0.5071112057583248","44.08933358723197","45.207528673659446","0.9902813449661859"
"2","true","80","3","150","12","80","50","11000","87","1.510782484828056","16.79310344827586","0.523986874261989","41.123089665113845","45.851877266934615","0.9919439270659783"
"4","true","80","3","150","12","80","50","11000","92","1.5231581539631711","18","0.5496205066755493","42.022967347686055","45.6603274188805","0.991592981080291"
"1","true","80","3","150","12","80","50","11000","88","1.3799449738121614","18.829545454545453","0.5381686327626667","40.085817194554174","45.8641309675522","0.9918321733163432"
"3","true","80","3","150","12","80","50","13000","69","1.464727656504833","18.217391304347824","0.5405258772914031","41.789312371052475","46.846093520243116","0.994102538966769"
"6","true","80","3","150","12","80","50","12000","77","1.4623504610899236","17.584415584415584","0.5178623682105493","42.4491847021303","46.33310459758847","0.9932398784432938"
"5","true","80","3","150","12","80","50","11000","102","1.5431841699875086","16.970588235294116","0.5171400858270709","43.280481668080576","45.187628663856486","0.9902048818743329"
"2","true","80","3","150","12","80","50","12000","92","1.5102900819025233","18.97826086956522","0.5370950109287203","43.97451049559608","45.85962160572493","0.9923929026566074"
"4","true","80","3","150","12","80","50","12000","98","1.4189827259364638","17.1734693877551","0.5685865946419822","40.89094986946001","45.64983825115185","0.9919733359474621"
"3","true","80","3","150","12","80","50","14000","73","1.3769802753889462","17.15068493150685","0.5568727931905542","40.01058773657595","46.72179198117831","0.9931281246936589"
"1","true","80","3","150","12","80","50","12000","90","1.494612814429574","17.07777777777778","0.561803862015208","41.22206062117782","45.8414861288109","0.9922223311440093"
"6","true","80","3","150","12","80","50","13000","82","1.4427307709228225","15.963414634146341","0.5514525067806475","41.709235407296084","46.20223507499265","0.992971277325754"
"2","true","80","3","150","12","80","50","13000","91","1.5718945800898556","18.21978021978022","0.5317807269074503","43.98371031920225","45.70973433977061","0.9933281050877419"
"3","true","80","3","150","12","80","50","15000","77","1.3738004507650325","17.896103896103895","0.5039035774737273","38.99506415991199","46.36290559749044","0.9926948338398205"
