"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"M5Model_Dresslar.nlogo"
"randotime_long"
"04/20/2025 11:55:13:267 -1000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-50","50","-50","50"
"[run number]","Randos?","weirdness","farm-cost","fission-energy","swidden-radius","the-min-fertility","move-rate","[step]","count households","mean [fission-rate] of households","mean [farm-dist] of households","mean [min-fertility] of households","mean [move-threshold] of households","mean [vegetation] of patches"
"6","true","80","3","150","12","80","50","5000","55","1.3514221947733949","16.945454545454545","0.5216064425511758","39.67276897774084","47.66601313596706"
"3","true","80","3","150","12","80","50","5000","51","1.4071816013556593","17.274509803921568","0.5473409259034705","39.583739601032356","47.757082638956966"
"5","true","80","3","150","12","80","50","5000","64","1.520075309076733","18.53125","0.49847196343791966","44.19492762029078","47.47848250171552"
"1","true","80","3","150","12","80","50","6000","52","1.5656075301236347","18.057692307692307","0.510067669060638","43.44284517995167","47.72639937261053"
"4","true","80","3","150","12","80","50","5000","71","1.5712456093310532","17.859154929577464","0.5609373649942887","41.71089248569467","46.64170179394177"
"2","true","80","3","150","12","80","50","5000","64","1.3180458482907735","15.9375","0.5152804647852343","37.93120929401919","47.30477404176061"
"6","true","80","3","150","12","80","50","6000","54","1.638451899566181","15.574074074074074","0.5871408452861925","43.996386871962414","47.5128908930497"
"3","true","80","3","150","12","80","50","6000","58","1.6080811442028118","16.120689655172413","0.5192691826950109","42.57367494782837","47.49259876482698"
"5","true","80","3","150","12","80","50","6000","55","1.564824549918192","17.927272727272726","0.46026789008805336","42.040682732541676","47.48554063327125"
"1","true","80","3","150","12","80","50","7000","56","1.503482997990474","18.714285714285715","0.5854389926072271","41.65496417556578","47.64454465248505"
"4","true","80","3","150","12","80","50","6000","80","1.570122512052962","16","0.5315328489652278","43.06352325025737","46.49710812665425"
"6","true","80","3","150","12","80","50","7000","58","1.4355022413186052","18.20689655172414","0.578761434598955","40.251613594253584","47.36878737378689"
"2","true","80","3","150","12","80","50","6000","64","1.3281536128673734","14.75","0.5329535890516046","39.70696174729584","47.03078129595138"
"3","true","80","3","150","12","80","50","7000","63","1.4522550336239044","15.80952380952381","0.5180718428280563","41.97224201379602","47.303793745711204"
"5","true","80","3","150","12","80","50","7000","64","1.378909322235036","17.90625","0.4669935790007841","41.07399707916484","47.29055974904421"
"1","true","80","3","150","12","80","50","8000","60","1.4902092526948225","17.033333333333335","0.5863971454051863","40.794172038808895","47.435741593961374"
"6","true","80","3","150","12","80","50","8000","58","1.3218282006517603","15.189655172413794","0.5377275859488586","38.545871652829476","47.326438584452504"
"4","true","80","3","150","12","80","50","7000","76","1.6195202867466154","16.07894736842105","0.48555400918869596","45.31988691431045","46.49269679443192"
"3","true","80","3","150","12","80","50","8000","62","1.5004777997971082","16.225806451612904","0.5043033069233392","42.416818085038194","47.16625820997941"
"2","true","80","3","150","12","80","50","7000","73","1.5137744806064104","16.28767123287671","0.493960325548572","41.537482835133815","46.95461229291246"
"5","true","80","3","150","12","80","50","8000","65","1.567766203679411","17","0.5013155723022568","42.73355244792653","47.20458778551122"
"1","true","80","3","150","12","80","50","9000","64","1.473072553889194","15.96875","0.5859778260205118","40.87996789896801","47.04940692089011"
"6","true","80","3","150","12","80","50","9000","69","1.3770305381739507","18","0.5381439837897416","40.45395431573562","47.10626409175571"
"3","true","80","3","150","12","80","50","9000","63","1.5913680490995872","16.365079365079364","0.502667672314979","42.81928978132752","47.11440054896579"
"4","true","80","3","150","12","80","50","8000","79","1.4131550808070967","17.582278481012658","0.46822489453827576","39.98171311430079","46.35231840015685"
"2","true","80","3","150","12","80","50","8000","74","1.47318044932224","15.68918918918919","0.5507089534643651","42.32366369206649","46.67581609646113"
"5","true","80","3","150","12","80","50","9000","63","1.5774518548770984","18.19047619047619","0.5282917608225673","43.04256222820662","47.04989706891481"
"1","true","80","3","150","12","80","50","10000","72","1.5686073075494567","15.972222222222221","0.5769126022268299","43.7496217184891","46.789040290167634"
"6","true","80","3","150","12","80","50","10000","71","1.4313363491796596","17.450704225352112","0.4916213439423189","40.56979070042621","46.984119203999605"
"3","true","80","3","150","12","80","50","10000","67","1.4337458515934776","18.80597014925373","0.5522935843565088","39.97041686457313","46.999411822370355"
"4","true","80","3","150","12","80","50","9000","85","1.458599533750992","17.105882352941176","0.48834787052940587","41.88187605013888","46.28781492010587"
"5","true","80","3","150","12","80","50","10000","65","1.6031905064093364","17.446153846153845","0.48237817183271464","43.257766648532794","47.00147044407411"
"2","true","80","3","150","12","80","50","9000","80","1.4067583852166394","17.45","0.5136731086249239","41.53501425250742","46.47309087344378"
"1","true","80","3","150","12","80","50","11000","75","1.5795748905492983","17.026666666666667","0.6277254761641444","42.24654307473788","46.680913635918046"
"6","true","80","3","150","12","80","50","11000","72","1.6590073299899661","16.97222222222222","0.48219441107222","44.06100361671984","46.82756592490932"
"3","true","80","3","150","12","80","50","11000","66","1.4372654611586666","17.424242424242426","0.5505296591781716","40.91663021290208","46.84893637878639"
"4","true","80","3","150","12","80","50","10000","84","1.599399185167918","15.595238095238095","0.4477535510414019","43.92134361322129","46.08440348985393"
"5","true","80","3","150","12","80","50","11000","80","1.6038091207071588","17.4875","0.48966737473659244","42.35564638089721","46.64287814920106"
"1","true","80","3","150","12","80","50","12000","87","1.454030219692085","17.103448275862068","0.5130471003371906","40.549341149071196","46.363199686305265"
"2","true","80","3","150","12","80","50","10000","85","1.4875552908537018","17.564705882352943","0.4946890760346628","42.170883376572625","46.28732477208117"
"6","true","80","3","150","12","80","50","12000","77","1.5318832443651205","17.07792207792208","0.564615363275619","43.4836873959376","46.65424958337418"
"3","true","80","3","150","12","80","50","12000","74","1.3843555743747575","16.60810810810811","0.5574709237439965","41.18791006072691","46.70718557004215"
"4","true","80","3","150","12","80","50","11000","81","1.5857333793150503","15.703703703703704","0.48320792286186337","43.22871740616446","46.003627095382804"
"5","true","80","3","150","12","80","50","12000","77","1.5658060130818967","17.5974025974026","0.5204214598479039","42.370449394196896","46.60729340260759"
