"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"M5Model_Dresslar.nlogo"
"randotime_very_long"
"04/21/2025 08:03:18:597 -1000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-50","50","-50","50"
"[run number]","Randos?","weirdness","farm-cost","fission-energy","swidden-radius","the-min-fertility","move-rate","[step]","count households","mean [fission-rate] of households","mean [farm-dist] of households","mean [min-fertility] of households","mean [move-threshold] of households","mean [vegetation] of patches","mean [fertility] of patches"
"5","true","80","3","150","12","80","50","20000","117","1.5110752069398186","16.641025641025642","0.5265153080305733","42.52388623188217","44.0932261542986","0.9902068424664269"
"2","true","80","3","150","12","80","50","20000","111","1.5461086277474063","17.27927927927928","0.5814941213098092","42.13426844805043","43.954906381727284","0.9911773355553412"
"3","true","80","3","150","12","80","50","30000","118","1.6794493205320047","18.033898305084747","0.5621223693971038","44.46218207289829","44.05803352612489","0.9897147338496268"
"1","true","80","3","150","12","80","50","30000","118","1.5416003661319817","17.194915254237287","0.4884207599188122","42.7243912503373","43.48828546220959","0.988812861484169"
"6","true","80","3","150","12","80","50","30000","127","1.569563394394136","16.03937007874016","0.5888422008235852","42.96451548257927","43.00401921380257","0.9880737182629179"
"4","true","80","3","150","12","80","50","30000","133","1.5401817975171606","16.24812030075188","0.5260868641851072","42.8682075681113","43.23027154200569","0.9900009802960548"
"5","true","80","3","150","12","80","50","30000","141","1.4145490742305866","17.47517730496454","0.5198147849515932","41.09945961217605","42.53396725811195","0.9889285364180026"
"2","true","80","3","150","12","80","50","30000","141","1.4441811488577347","16.52482269503546","0.5807825720250026","41.90224382586604","42.39270659739241","0.9877796294480946"
"3","true","80","3","150","12","80","50","40000","130","1.6152043136763217","16.876923076923077","0.5380481593445563","42.67465762847358","42.64170179394177","0.9863797666895431"
"1","true","80","3","150","12","80","50","40000","145","1.565090321073204","16.20689655172414","0.5563333689582757","41.755539039695726","41.67238506028821","0.9885207332614491"
"6","true","80","3","150","12","80","50","40000","147","1.5674710202856563","17.095238095238095","0.49880927115690127","43.1691009407892","41.38162925203412","0.9863268307028773"
"4","true","80","3","150","12","80","50","40000","149","1.4433632467397597","15.718120805369127","0.509138869107421","41.96910671728289","41.534849524556414","0.9849701009704969"
"5","true","80","3","150","12","80","50","40000","133","1.5260240773960454","18.015037593984964","0.5257553879208503","42.62772880604361","41.248799137339475","0.9871110675424016"
"2","true","80","3","150","12","80","50","40000","164","1.5505990759582153","16.98780487804878","0.588376501547766","43.11036335727879","40.52798745221057","0.9848563866287671"
"3","true","80","3","150","12","80","50","50000","155","1.5491435823052","16.767741935483873","0.5041287379129187","43.758357711015286","40.78070777374767","0.9857896284678012"
"1","true","80","3","150","12","80","50","50000","152","1.51618487108666","18.230263157894736","0.5769846320470844","42.655713610253564","40.38398196255269","0.9864895598470786"
"6","true","80","3","150","12","80","50","50000","174","1.4502851768892344","16.96551724137931","0.49401622862924977","41.90760406341267","39.68689344181943","0.9864660327418918"
"4","true","80","3","150","12","80","50","50000","170","1.384407172554065","17.71764705882353","0.526893282794297","39.32803556542481","39.817860994020194","0.9847387511028378"
"5","true","80","3","150","12","80","50","50000","169","1.525150738614413","18.059171597633135","0.46199700322424925","43.01042951653876","39.56533673169297","0.9840780315655359"
"2","true","80","3","150","12","80","50","50000","167","1.4867532110004622","18.32934131736527","0.5202505737100465","42.40357864361686","38.86658170767572","0.9844309381433233"
"3","true","80","3","150","12","80","50","60000","181","1.4780291685227176","17.165745856353592","0.5251327497328585","42.34011145854836","39.26654249583374","0.9855269091265604"
"1","true","80","3","150","12","80","50","60000","177","1.4769973245265324","17.175141242937855","0.4816337232709112","40.79352037993987","38.86932653661406","0.9837721791981237"
"6","true","80","3","150","12","80","50","60000","185","1.4619425225213794","16.52972972972973","0.529666007224303","41.42722896206841","37.97510048034506","0.9818939319674597"
"4","true","80","3","150","12","80","50","60000","192","1.371686529436836","17.078125","0.5226550685137545","40.21623537333035","38.12841878247231","0.9838113910400995"
"5","true","80","3","150","12","80","50","60000","179","1.5112588341083155","15.994413407821229","0.5247817298613393","42.8940139227928","38.00078423683953","0.9819664738751148"
"2","true","80","3","150","12","80","50","60000","186","1.4548365184891547","16.919354838709676","0.541796520787957","41.912866765404154","37.17645328889325","0.9846466032741923"
