"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"M5Model_Dresslar.nlogo"
"randotime"
"04/20/2025 08:42:55:619 -1000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-50","50","-50","50"
"run_number","Randos?","weirdness","farm_cost","fission_energy","swidden_radius","the_min_fertility","move_rate","step","count_households","mean_fission_rate","mean_farm_dist","mean_min_fertility","mean_move_threshold","mean_vegetation"
"5","true","80","3","150","12","80","50","1500","49","1.5028330363824918","18.244897959183675","0.6223569822900108","40.401576741880596","47.86638564846584"
"2","true","80","3","150","12","80","50","1500","53","1.2627128141894906","16.264150943396228","0.567735708718189","40.393487642229","48.06920890108813"
"6","true","80","3","150","12","80","50","1500","61","1.4055671489335004","15.163934426229508","0.5914977902806048","42.76446877899664","47.526320948926575"
"3","true","80","3","150","12","80","50","2000","31","1.3792880850307785","16.64516129032258","0.6062152864060543","37.54301766650787","48.77119890206843"
"1","true","80","3","150","12","80","50","1500","46","1.3754831769787048","16.456521739130434","0.6900282755350318","40.35548671223937","48.41946867954122"
"4","true","80","3","150","12","80","50","2000","46","1.5086463254982356","15.804347826086957","0.588162395213773","41.87088085582671","48.37947260072542"
"2","true","80","3","150","12","80","50","2000","50","1.327004893729408","16.78","0.5787546295236353","39.98090699128734","47.96765023036957"
"5","true","80","3","150","12","80","50","2000","61","1.3648986780779795","17.0327868852459","0.598280417691384","41.016653649040535","47.81139104009411"
"6","true","80","3","150","12","80","50","2000","65","1.477843535627391","15.830769230769231","0.5682371940722373","41.17503732638166","47.33535927850211"
"3","true","80","3","150","12","80","50","2500","32","1.6172513773318125","13.34375","0.5456598087064497","43.82292833222226","48.70855798451132"
"4","true","80","3","150","12","80","50","2500","46","1.5648246679878055","15.021739130434783","0.5193362410218153","42.79987164062182","48.264091755710226"
"1","true","80","3","150","12","80","50","2000","40","1.658771821492484","15","0.6190033996410331","42.40129774064316","48.28497206156259"
"2","true","80","3","150","12","80","50","2500","51","1.4082834133327984","15.784313725490197","0.6075356972471513","42.33593825761049","47.75943534947554"
"3","true","80","3","150","12","80","50","3000","38","1.4250390253854361","14.105263157894736","0.488852614466079","42.156945706825795","48.611018527595334"
"5","true","80","3","150","12","80","50","2500","54","1.3901309021866748","17.055555555555557","0.5298415225995357","40.50724607228591","47.64758357023821"
"6","true","80","3","150","12","80","50","2500","67","1.4734046414613844","15.223880597014926","0.517362418829642","41.116992378680415","47.31193020292128"
"4","true","80","3","150","12","80","50","3000","45","1.3857196200640642","16.844444444444445","0.4744861815669894","40.297347265363996","48.14920105871973"
"2","true","80","3","150","12","80","50","3000","59","1.5248272234934412","16.35593220338983","0.5991899625858182","42.693784523215285","47.546220958729535"
"3","true","80","3","150","12","80","50","3500","50","1.3165675980733522","16.38","0.49694326755481444","40.634545750327305","48.11342025291638"
"1","true","80","3","150","12","80","50","2500","43","1.5409831412548416","15.906976744186046","0.6588474157260492","42.939850154580135","48.359278502107635"
"5","true","80","3","150","12","80","50","3000","62","1.6208969840708454","16.919354838709676","0.5268824346577049","45.26979105613684","47.519262817370844"
"6","true","80","3","150","12","80","50","3000","70","1.5662836650692173","16.457142857142856","0.5710929574308636","41.93880185550753","47.313988824625035"
"4","true","80","3","150","12","80","50","3500","46","1.4050850274227586","15.869565217391305","0.4428313398818996","38.656070749424124","48.11430251936085"
"3","true","80","3","150","12","80","50","4000","45","1.3486507948211683","17.155555555555555","0.5450561739063854","42.22038170601798","48.08165866091559"
"2","true","80","3","150","12","80","50","3500","62","1.5922336945541369","17.14516129032258","0.6259450699923208","44.99889507881659","47.414371140084306"
"1","true","80","3","150","12","80","50","3000","53","1.4851776022778116","18.433962264150942","0.6044951122503184","42.88218886071878","48.01960592098814"
"5","true","80","3","150","12","80","50","3500","64","1.5944008358671464","17.671875","0.4882948456643679","44.28781353231247","47.42740907754142"
"6","true","80","3","150","12","80","50","3500","63","1.483638214488224","16.6984126984127","0.5590346431303655","41.173666819084794","47.287030683266345"
"4","true","80","3","150","12","80","50","4000","49","1.2796159041893223","15.285714285714286","0.4898728646346894","38.05474501976344","48.06950298990295"
"3","true","80","3","150","12","80","50","4500","47","1.5628232944032847","16.106382978723403","0.5702390400053052","43.64074162874485","48.00813645721008"
"2","true","80","3","150","12","80","50","4000","67","1.532158910721475","19.253731343283583","0.5927603609252621","44.170183262471404","47.282031173414374"
"1","true","80","3","150","12","80","50","3500","52","1.4495375672058737","18.115384615384617","0.5603287821143788","42.778638333214914","48.00617586511127"
"5","true","80","3","150","12","80","50","4000","67","1.5483684648215807","16.895522388059703","0.49843674360154594","43.056922948047685","47.32173316341535"
"4","true","80","3","150","12","80","50","4500","52","1.3714198196426173","15.807692307692308","0.47632933070876704","43.11949429322356","47.96216057249289"
"6","true","80","3","150","12","80","50","4000","69","1.4588946848993039","16.63768115942029","0.541386708892754","41.58682359341664","47.13175178904029"
"3","true","80","3","150","12","80","50","5000","49","1.486636402451332","16.836734693877553","0.4920557410839881","42.37251031636582","47.69287324772081"
"2","true","80","3","150","12","80","50","4500","67","1.508466917260755","18.37313432835821","0.5900174424343517","42.663229573781805","47.227330653857464"
"4","true","80","3","150","12","80","50","5000","46","1.3546477851358782","16.652173913043477","0.5083906461595198","41.29564421908572","47.968532496814035"
"5","true","80","3","150","12","80","50","4500","70","1.598179355340014","16.17142857142857","0.5211045231433808","43.48907196132665","47.13106558180571"
"1","true","80","3","150","12","80","50","4000","47","1.5045056585552383","19.70212765957447","0.4462662874774019","42.27684272167478","47.99343201646897"
