altruistic_probability,selfish_probability,cost_of_altruism,benefit_from_altruism,disease,harshness,run_number,ticks,altruists,selfish,void,max_pink,max_green,max_black
0.26,0.26,0.0,0.0,0.5,0.5,4,7860.0,0.0,1258.0,423.0,1184.0,1325.0,728.0
0.26,0.26,0.0,0.0,0.5,0.5,5,4248.0,1295.0,0.0,386.0,1306.0,1145.0,696.0
0.26,0.26,0.0,0.0,0.5,0.5,6,4929.0,0.0,1246.0,435.0,1052.0,1286.0,677.0
0.26,0.26,0.0,0.0,0.5,0.5,7,4148.0,0.0,1250.0,431.0,979.0,1325.0,696.0
0.26,0.26,0.0,0.0,0.5,0.5,8,7959.0,0.0,1269.0,412.0,970.0,1301.0,717.0
0.26,0.26,0.0,0.0,0.5,0.5,9,1207.0,1261.0,0.0,420.0,1321.0,638.0,715.0
0.26,0.26,0.0,0.0,0.5,0.75,0,2226.0,0.0,636.0,1045.0,525.0,775.0,1133.0
0.26,0.26,0.0,0.0,0.5,0.75,1,1918.0,0.0,690.0,991.0,521.0,815.0,1119.0
0.26,0.26,0.0,0.0,0.5,0.75,2,7804.0,578.0,0.0,1103.0,814.0,638.0,1164.0
0.26,0.26,0.0,0.0,0.5,0.75,3,2975.0,637.0,0.0,1044.0,750.0,695.0,1124.0
0.26,0.26,0.0,0.0,0.5,0.75,4,2181.0,723.0,0.0,958.0,857.0,547.0,1113.0
0.26,0.26,0.0,0.0,0.5,0.75,5,339.0,0.0,650.0,1031.0,410.0,749.0,1050.0
0.26,0.26,0.0,0.0,0.5,0.75,6,4412.0,688.0,0.0,993.0,774.0,674.0,1234.0
0.26,0.26,0.0,0.0,0.5,0.75,7,8311.0,0.0,761.0,920.0,646.0,787.0,1189.0
0.26,0.26,0.0,0.0,0.5,0.75,8,1640.0,687.0,0.0,994.0,824.0,447.0,1166.0
0.26,0.26,0.0,0.0,0.5,0.75,9,2688.0,711.0,0.0,970.0,760.0,541.0,1163.0
0.26,0.26,0.0,0.0,0.5,1.0,0,69.0,0.0,4.0,1677.0,432.0,426.0,1677.0
0.26,0.26,0.0,0.0,0.5,1.0,1,56.0,0.0,0.0,1681.0,391.0,388.0,1681.0
0.26,0.26,0.0,0.0,0.5,1.0,2,58.0,0.0,2.0,1679.0,445.0,346.0,1679.0
0.26,0.26,0.0,0.0,0.5,1.0,3,51.0,0.0,10.0,1671.0,374.0,442.0,1671.0
0.26,0.26,0.0,0.0,0.5,1.0,4,47.0,0.0,5.0,1676.0,394.0,423.0,1677.0
0.26,0.26,0.0,0.0,0.5,1.0,5,53.0,3.0,0.0,1678.0,383.0,413.0,1678.0
0.26,0.26,0.0,0.0,0.5,1.0,6,51.0,0.0,14.0,1667.0,408.0,360.0,1667.0
0.26,0.26,0.0,0.0,0.5,1.0,7,36.0,0.0,2.0,1679.0,444.0,385.0,1679.0
