altruistic_probability,selfish_probability,cost_of_altruism,benefit_from_altruism,disease,harshness,run_number,sample_index,ticks_to_stop,pinks_count,greens_count,voids_count,max_pink,max_green,max_black,min_pink,min_green,min_black
0.26,0.26,0.42056372854858637,0.3521567899733782,0.8931737503968179,0.7639987687580287,0,15,22.0,0.0,192.0,1489.0,303.0,430.0,1498.0,0.0,0.0,0.0
0.26,0.26,0.7831752980127931,0.8104400672018528,0.8931737503968179,0.7639987687580287,0,16,9.0,0.0,312.0,1369.0,251.0,503.0,1369.0,0.0,0.0,0.0
0.26,0.26,0.7831752980127931,0.3521567899733782,0.003093377407640219,0.7639987687580287,0,17,10.0,0.0,1302.0,379.0,194.0,1302.0,908.0,0.0,0.0,0.0
0.26,0.26,0.7831752980127931,0.3521567899733782,0.8931737503968179,0.3949729624204338,0,18,9.0,0.0,972.0,709.0,241.0,972.0,886.0,0.0,0.0,0.0
0.26,0.26,0.7831752980127931,0.3521567899733782,0.8931737503968179,0.7639987687580287,0,19,7.0,0.0,341.0,1340.0,185.0,486.0,1340.0,0.0,0.0,0.0
0.26,0.26,0.04492386057972908,0.46663644071668386,0.5944640851579607,0.7330472661182285,0,20,133.0,1247.0,0.0,434.0,1291.0,472.0,830.0,0.0,0.0,0.0
0.26,0.26,0.6360292276367545,0.46663644071668386,0.5944640851579607,0.7330472661182285,0,21,14.0,0.0,648.0,1033.0,274.0,683.0,1046.0,0.0,0.0,0.0
0.26,0.26,0.04492386057972908,0.001628604717552662,0.5944640851579607,0.7330472661182285,0,22,167.0,0.0,463.0,1218.0,417.0,595.0,1226.0,0.0,0.0,0.0
0.26,0.26,0.04492386057972908,0.46663644071668386,0.22741783456876874,0.7330472661182285,0,23,195.0,1533.0,0.0,148.0,1568.0,576.0,677.0,0.0,0.0,0.0
0.26,0.26,0.04492386057972908,0.46663644071668386,0.5944640851579607,0.5392270339652896,0,24,250.0,1356.0,5.0,320.0,1435.0,628.0,674.0,0.0,0.0,0.0
0.26,0.26,0.04492386057972908,0.001628604717552662,0.22741783456876874,0.5392270339652896,0,25,250.0,56.0,1411.0,214.0,764.0,1482.0,683.0,0.0,0.0,0.0
0.26,0.26,0.6360292276367545,0.46663644071668386,0.22741783456876874,0.5392270339652896,0,26,15.0,0.0,1468.0,213.0,352.0,1468.0,716.0,0.0,0.0,0.0
0.26,0.26,0.6360292276367545,0.001628604717552662,0.5944640851579607,0.5392270339652896,0,27,10.0,0.0,996.0,685.0,267.0,996.0,947.0,0.0,0.0,0.0
0.26,0.26,0.6360292276367545,0.001628604717552662,0.22741783456876874,0.7330472661182285,0,28,11.0,0.0,992.0,689.0,258.0,992.0,942.0,0.0,0.0,0.0
0.26,0.26,0.6360292276367545,0.001628604717552662,0.22741783456876874,0.5392270339652896,0,29,9.0,0.0,1382.0,299.0,291.0,1382.0,835.0,0.0,0.0,0.0
0.26,0.26,0.5160423405468464,0.6089280480518937,0.337891739141196,0.1223874120041728,0,30,23.0,0.0,1538.0,143.0,485.0,1563.0,441.0,0.0,0.0,0.0
0.26,0.26,0.017327972687780857,0.6089280480518937,0.337891739141196,0.1223874120041728,0,31,146.0,1603.0,0.0,78.0,1608.0,764.0,359.0,0.0,0.0,0.0
0.26,0.26,0.5160423405468464,0.6058282405138016,0.337891739141196,0.1223874120041728,0,32,23.0,0.0,1547.0,134.0,510.0,1561.0,429.0,0.0,0.0,0.0
0.26,0.26,0.5160423405468464,0.6089280480518937,0.5249243773519993,0.1223874120041728,0,33,25.0,0.0,1472.0,209.0,485.0,1483.0,489.0,0.0,0.0,0.0
