,altruistic_probability,selfish_probability,cost_of_altruism,benefit_from_altruism,disease,harshness,ticks_mean,ticks_std,altruists_mean,altruists_std,selfish_mean,selfish_std,void_mean,void_std,max_pink_mean,max_pink_std,max_green_mean,max_green_std,max_black_mean,max_black_std
altruistic_probability,,,,,,,,,,,,,,,,,,,,
selfish_probability,,,,,,,,,,,,,,,,,,,,
selfish_mean,,,0.39716893746308074,-0.0054103160532716485,-0.3349964590392424,-0.5559021896474123,-0.08306324409489217,-0.07091864890133844,-0.5888147004312472,-0.08654823112859458,1.0,-0.04132963157235291,-0.5621803479621927,-0.174751151692597,-0.38889237636934526,0.06618662978108512,0.9496818111733307,-0.17144797720510868,-0.5722543526850302,-0.25529753326292814
selfish_std,,,-0.16061793992572773,-0.25962133319344505,-0.04866136439758558,0.0007695524153543622,0.7285157506677874,0.8553747015674139,0.06246440138513554,0.9673788154214042,-0.04132963157235291,1.0,-0.015778545020833916,0.15404663884228595,0.1427095291020683,0.8951637755068352,0.04135182532697417,0.9311312772377095,-0.024278047568892736,0.1093640764489471
void_mean,,,0.19201924469141715,-0.14202648504956256,0.45911110605025107,0.7165990115832441,-0.11061320878537888,-0.09806785464908181,-0.33742948158886715,-0.08928277821343454,-0.5621803479621927,-0.015778545020833916,1.0,0.3892594939352857,-0.49664365077288436,-0.11841633925243578,-0.7447538422164004,-0.008290044715414332,0.9366526673258916,0.3946303337287312
void_std,,,0.12345624574280628,-0.04827848678608584,0.047387245840673144,0.41344068600138334,0.03963001090256823,0.15552914349405592,-0.18152504711042958,0.08064740772966485,-0.174751151692597,0.15404663884228595,0.3892594939352857,1.0,-0.27073620321105285,0.16824572836127233,-0.274665996300312,0.32482017861930285,0.40860118895735403,0.8122833265493375
max_pink_mean,,,-0.7857651044465649,0.20979826749725453,-0.15565182398117866,-0.2170387489069627,0.29322378937136445,0.2695486937572686,0.9280432172553996,0.27700015837073,-0.38889237636934526,0.1427095291020683,-0.49664365077288436,-0.27073620321105285,1.0,0.1932962918242155,-0.1161371731670511,0.22314594213229055,-0.4436481073082896,-0.1757262333678991
max_pink_std,,,-0.27840132523089917,-0.1401747596441702,-0.05721050067926693,-0.07554012597157472,0.6961076113644393,0.8232969093636907,0.04039505964792079,0.9276606723373094,0.06618662978108512,0.8951637755068352,-0.11841633925243578,0.16824572836127233,0.1932962918242155,1.0,0.167258408355086,0.8064193118579321,-0.12225034719327288,0.14980338711772645
max_green_mean,,,0.18203022821158654,0.031892805842175,-0.4156310036973841,-0.6794186953824654,0.024620695843814284,0.04149084175028911,-0.3531049856788792,0.03858575839758831,0.9496818111733307,0.04135182532697417,-0.7447538422164004,-0.274665996300312,-0.1161371731670511,0.167258408355086,1.0,-0.08029574556112704,-0.734953268588903,-0.33560165578766743
max_green_std,,,-0.19796464912528564,-0.2545699506308004,-0.07560696752505948,0.07703806495375597,0.6425421146307808,0.8129807337921336,0.20325307081683688,0.8902791941472628,-0.17144797720510868,0.9311312772377095,-0.008290044715414332,0.32482017861930285,0.22314594213229055,0.8064193118579321,-0.08029574556112704,1.0,0.008386592396160977,0.20819601581615532
max_black_mean,,,0.13710119463387216,-0.12413779405001707,0.4073343970450936,0.8319020775045424,-0.09110609230367997,-0.07914528006204467,-0.2640513416201253,-0.08716756161545589,-0.5722543526850302,-0.024278047568892736,0.9366526673258916,0.40860118895735403,-0.4436481073082896,-0.12225034719327288,-0.734953268588903,0.008386592396160977,1.0,0.4385017015435396
max_black_std,,,0.04413173297619403,0.010847448064976633,0.03397126705592732,0.4488535238894082,0.026901098184714377,0.1506575812901318,-0.09509208986666166,0.07302326582254713,-0.25529753326292814,0.1093640764489471,0.3946303337287312,0.8122833265493375,-0.1757262333678991,0.14980338711772645,-0.33560165578766743,0.20819601581615532,0.4385017015435396,1.0
